INpute layer 0
184
9
2

Error results for GA
---------------------------
iteration 0 1116.857
iteration 1 1139.677
iteration 2 1136.604
iteration 3 1120.331
iteration 4 1181.397
iteration 5 1137.993
iteration 6 1138.114
iteration 7 1143.251
iteration 8 1117.192
iteration 9 1106.650
iteration 10 1164.198
iteration 11 1147.404
iteration 12 1107.785
iteration 13 1116.651
iteration 14 1147.824
iteration 15 1114.143
iteration 16 1153.149
iteration 17 1143.040
iteration 18 1124.741
iteration 19 1156.310
iteration 20 1141.070
iteration 21 1119.272
iteration 22 1119.892
iteration 23 1113.744
iteration 24 1106.164
iteration 25 1163.594
iteration 26 1138.761
iteration 27 1121.967
iteration 28 1123.989
iteration 29 1124.056
iteration 30 1149.415
iteration 31 1118.435
iteration 32 1143.320
iteration 33 1112.607
iteration 34 1109.297
iteration 35 1149.461
iteration 36 1108.170
iteration 37 1121.967
iteration 38 1122.526
iteration 39 1108.147
iteration 40 1109.593
iteration 41 1102.818
iteration 42 1107.706
iteration 43 1120.643
iteration 44 1120.801
iteration 45 1108.802
iteration 46 1120.061
iteration 47 1100.744
iteration 48 1120.749
iteration 49 1109.871
iteration 50 1125.113
iteration 51 1131.502
iteration 52 1107.703
iteration 53 1123.246
iteration 54 1123.275
iteration 55 1124.356
iteration 56 1131.500
iteration 57 1123.024
iteration 58 1102.688
iteration 59 1122.883
iteration 60 1101.815
iteration 61 1107.715
iteration 62 1121.258
iteration 63 1127.403
iteration 64 1128.021
iteration 65 1121.513
iteration 66 1131.393
iteration 67 1103.177
iteration 68 1105.573
iteration 69 1105.828
iteration 70 1124.273
iteration 71 1122.881
iteration 72 1112.599
iteration 73 1114.699
iteration 74 1111.026
iteration 75 1113.307
iteration 76 1101.898
iteration 77 1130.418
iteration 78 1123.011
iteration 79 1138.128
iteration 80 1122.813
iteration 81 1124.491
iteration 82 1109.756
iteration 83 1124.245
iteration 84 1109.745
iteration 85 1118.820
iteration 86 1120.073
iteration 87 1138.128
iteration 88 1103.919
iteration 89 1138.128
iteration 90 1119.946
iteration 91 1122.501
iteration 92 1119.002
iteration 93 1118.129
iteration 94 1111.538
iteration 95 1114.259
iteration 96 1134.749
iteration 97 1108.802
iteration 98 1112.077
iteration 99 1109.003
iteration 100 1111.440
iteration 101 1124.645
iteration 102 1137.815
iteration 103 1119.877
iteration 104 1119.915
iteration 105 1120.446
iteration 106 1124.645
iteration 107 1137.817
iteration 108 1122.136
iteration 109 1115.811
iteration 110 1102.842
iteration 111 1123.476
iteration 112 1125.689
iteration 113 1120.718
iteration 114 1137.824
iteration 115 1119.388
iteration 116 1119.319
iteration 117 1123.194
iteration 118 1122.044
iteration 119 1123.451
iteration 120 1127.298
iteration 121 1123.843
iteration 122 1137.824
iteration 123 1124.563
iteration 124 1128.044
iteration 125 1124.741
iteration 126 1137.783
iteration 127 1121.805
iteration 128 1124.235
iteration 129 1123.750
iteration 130 1131.619
iteration 131 1123.976
iteration 132 1120.572
iteration 133 1128.382
iteration 134 1126.770
iteration 135 1128.685
iteration 136 1122.827
iteration 137 1129.892
iteration 138 1128.472
iteration 139 1126.084
iteration 140 1123.756
iteration 141 1125.625
iteration 142 1128.090
iteration 143 1125.969
iteration 144 1126.693
iteration 145 1127.450
iteration 146 1130.254
iteration 147 1127.372
iteration 148 1123.532
iteration 149 1113.857
iteration 150 1125.528
iteration 151 1126.032
iteration 152 1120.065
iteration 153 1127.557
iteration 154 1126.032
iteration 155 1124.849
iteration 156 1122.688
iteration 157 1119.042
iteration 158 1120.122
iteration 159 1125.163
iteration 160 1123.898
iteration 161 1120.065
iteration 162 1122.264
iteration 163 1126.837
iteration 164 1123.964
iteration 165 1124.235
iteration 166 1126.801
iteration 167 1125.615
iteration 168 1120.213
iteration 169 1121.013
iteration 170 1127.260
iteration 171 1127.245
iteration 172 1125.962
iteration 173 1119.890
iteration 174 1123.122
iteration 175 1120.674
iteration 176 1122.159
iteration 177 1124.691
iteration 178 1127.099
iteration 179 1119.845
iteration 180 1128.503
iteration 181 1122.672
iteration 182 1124.540
iteration 183 1126.691
iteration 184 1124.139
iteration 185 1123.538
iteration 186 1124.265
iteration 187 1127.202
iteration 188 1124.043
iteration 189 1124.708
iteration 190 1124.452
iteration 191 1122.301
iteration 192 1126.153
iteration 193 1123.766
iteration 194 1121.575
iteration 195 1122.444
iteration 196 1124.784
iteration 197 1122.301
iteration 198 1126.148
iteration 199 1123.859
iteration 200 1121.639
iteration 201 1125.029
iteration 202 1132.990
iteration 203 1121.320
iteration 204 1122.325
iteration 205 1125.468
iteration 206 1122.323
iteration 207 1125.553
iteration 208 1122.674
iteration 209 1129.798
iteration 210 1123.940
iteration 211 1124.485
iteration 212 1123.735
iteration 213 1134.721
iteration 214 1126.238
iteration 215 1126.522
iteration 216 1129.640
iteration 217 1125.147
iteration 218 1125.027
iteration 219 1123.491
iteration 220 1125.809
iteration 221 1141.036
iteration 222 1122.378
iteration 223 1123.988
iteration 224 1123.309
iteration 225 1140.970
iteration 226 1123.562
iteration 227 1134.245
iteration 228 1125.888
iteration 229 1120.276
iteration 230 1122.368
iteration 231 1125.763
iteration 232 1125.846
iteration 233 1125.617
iteration 234 1125.648
iteration 235 1122.243
iteration 236 1125.879
iteration 237 1124.872
iteration 238 1123.135
iteration 239 1126.043
iteration 240 1123.995
iteration 241 1124.400
iteration 242 1124.470
iteration 243 1125.677
iteration 244 1123.874
iteration 245 1125.601
iteration 246 1124.554
iteration 247 1124.383
iteration 248 1126.554
iteration 249 1150.418
iteration 250 1121.464
iteration 251 1150.418
iteration 252 1119.967
iteration 253 1127.419
iteration 254 1124.231
iteration 255 1125.359
iteration 256 1126.471
iteration 257 1117.895
iteration 258 1117.507
iteration 259 1128.569
iteration 260 1126.456
iteration 261 1121.659
iteration 262 1121.376
iteration 263 1113.163
iteration 264 1125.208
iteration 265 1124.812
iteration 266 1122.912
iteration 267 1122.060
iteration 268 1126.470
iteration 269 1126.496
iteration 270 1121.376
iteration 271 1125.970
iteration 272 1125.952
iteration 273 1125.677
iteration 274 1125.944
iteration 275 1125.639
iteration 276 1137.445
iteration 277 1125.738
iteration 278 1124.467
iteration 279 1124.954
iteration 280 1124.758
iteration 281 1125.735
iteration 282 1124.917
iteration 283 1125.330
iteration 284 1125.618
iteration 285 1126.050
iteration 286 1125.575
iteration 287 1125.284
iteration 288 1124.516
iteration 289 1124.076
iteration 290 1125.718
iteration 291 1124.861
iteration 292 1124.009
iteration 293 1124.642
iteration 294 1124.852
iteration 295 1126.160
iteration 296 1124.404
iteration 297 1124.832
iteration 298 1123.597
iteration 299 1124.969
iteration 300 1125.373
iteration 301 1121.721
iteration 302 1123.776
iteration 303 1123.457
iteration 304 1124.477
iteration 305 1125.363
iteration 306 1124.892
iteration 307 1125.016
iteration 308 1123.752
iteration 309 1121.033
iteration 310 1125.130
iteration 311 1123.166
iteration 312 1123.851
iteration 313 1122.285
iteration 314 1122.930
iteration 315 1124.277
iteration 316 1124.337
iteration 317 1126.704
iteration 318 1124.729
iteration 319 1122.945
iteration 320 1124.014
iteration 321 1123.462
iteration 322 1133.829
iteration 323 1122.476
iteration 324 1122.926
iteration 325 1124.349
iteration 326 1125.832
iteration 327 1125.940
iteration 328 1116.378
iteration 329 1123.384
iteration 330 1123.895
iteration 331 1122.630
iteration 332 1124.452
iteration 333 1125.390
iteration 334 1123.002
iteration 335 1123.678
iteration 336 1123.862
iteration 337 1124.252
iteration 338 1123.490
iteration 339 1122.151
iteration 340 1118.499
iteration 341 1124.297
iteration 342 1125.711
iteration 343 1123.298
iteration 344 1125.571
iteration 345 1122.398
iteration 346 1122.900
iteration 347 1123.723
iteration 348 1123.174
iteration 349 1122.797
iteration 350 1122.618
iteration 351 1123.117
iteration 352 1123.112
iteration 353 1121.516
iteration 354 1124.436
iteration 355 1124.068
iteration 356 1123.410
iteration 357 1122.199
iteration 358 1124.114
iteration 359 1124.376
iteration 360 1122.374
iteration 361 1123.655
iteration 362 1123.072
iteration 363 1124.338
iteration 364 1123.180
iteration 365 1125.587
iteration 366 1124.081
iteration 367 1123.382
iteration 368 1123.113
iteration 369 1124.077
iteration 370 1123.263
iteration 371 1123.364
iteration 372 1125.366
iteration 373 1124.771
iteration 374 1192.155
iteration 375 1125.429
iteration 376 1123.476
iteration 377 1123.281
iteration 378 1124.789
iteration 379 1122.715
iteration 380 1123.456
iteration 381 1123.150
iteration 382 1123.546
iteration 383 1119.743
iteration 384 1125.574
iteration 385 1123.738
iteration 386 1123.180
iteration 387 1123.889
iteration 388 1123.382
iteration 389 1123.843
iteration 390 1122.857
iteration 391 1121.195
iteration 392 1121.319
iteration 393 1123.881
iteration 394 1125.066
iteration 395 1123.657
iteration 396 1125.339
iteration 397 1121.442
iteration 398 1124.264
iteration 399 1122.956
iteration 400 1124.885
iteration 401 1122.993
iteration 402 1124.439
iteration 403 1122.806
iteration 404 1123.707
iteration 405 1117.131
iteration 406 1124.400
iteration 407 1125.832
iteration 408 1124.879
iteration 409 1124.873
iteration 410 1125.847
iteration 411 1125.442
iteration 412 1125.555
iteration 413 1125.956
iteration 414 1121.947
iteration 415 1125.260
iteration 416 1121.005
iteration 417 1123.963
iteration 418 1125.752
iteration 419 1126.394
iteration 420 1125.920
iteration 421 1121.341
iteration 422 1125.667
iteration 423 1121.165
iteration 424 1125.437
iteration 425 1124.505
iteration 426 1119.505
iteration 427 1121.719
iteration 428 1125.935
iteration 429 1119.387
iteration 430 1119.576
iteration 431 1125.433
iteration 432 1121.545
iteration 433 1123.798
iteration 434 1125.886
iteration 435 1119.319
iteration 436 1122.212
iteration 437 1123.675
iteration 438 1121.292
iteration 439 1120.120
iteration 440 1125.299
iteration 441 1123.631
iteration 442 1120.952
iteration 443 1127.316
iteration 444 1125.015
iteration 445 1125.819
iteration 446 1126.524
iteration 447 1125.818
iteration 448 1125.541
iteration 449 1124.988
iteration 450 1120.234
iteration 451 1125.897
iteration 452 1126.512
iteration 453 1113.277
iteration 454 1124.189
iteration 455 1125.759
iteration 456 1121.665
iteration 457 1127.110
iteration 458 1125.682
iteration 459 1125.015
iteration 460 1120.694
iteration 461 1124.975
iteration 462 1125.970
iteration 463 1120.581
iteration 464 1125.613
iteration 465 1118.640
iteration 466 1125.551
iteration 467 1124.915
iteration 468 1123.149
iteration 469 1125.187
iteration 470 1118.613
iteration 471 1118.606
iteration 472 1125.186
iteration 473 1124.899
iteration 474 1123.868
iteration 475 1125.789
iteration 476 1124.495
iteration 477 1120.773
iteration 478 1124.332
iteration 479 1125.759
iteration 480 1124.460
iteration 481 1120.311
iteration 482 1117.199
iteration 483 1121.178
iteration 484 1120.886
iteration 485 1122.355
iteration 486 1122.216
iteration 487 1122.339
iteration 488 1123.078
iteration 489 1120.824
iteration 490 1123.248
iteration 491 1125.083
iteration 492 1125.022
iteration 493 1120.443
iteration 494 1123.642
iteration 495 1118.309
iteration 496 1118.630
iteration 497 1124.351
iteration 498 1122.300
iteration 499 1121.723
iteration 500 1125.424
iteration 501 1124.104
iteration 502 1122.293
iteration 503 1122.635
iteration 504 1125.083
iteration 505 1119.784
iteration 506 1124.138
iteration 507 1120.850
iteration 508 1123.242
iteration 509 1125.326
iteration 510 1121.822
iteration 511 1125.707
iteration 512 1124.543
iteration 513 1123.134
iteration 514 1229.363
iteration 515 1120.682
iteration 516 1124.602
iteration 517 1125.326
iteration 518 1124.139
iteration 519 1126.766
iteration 520 1120.722
iteration 521 1124.110
