INpute layer 0
184
9
2

Error results for SA
---------------------------
iteration 0 1183.653
iteration 1 1183.859
iteration 2 1183.836
iteration 3 1182.539
iteration 4 1182.789
iteration 5 1182.854
iteration 6 1208.109
iteration 7 1209.220
iteration 8 1212.208
iteration 9 1212.208
iteration 10 1212.320
iteration 11 1212.421
iteration 12 1211.817
iteration 13 1212.252
iteration 14 1211.550
iteration 15 1211.839
iteration 16 1211.839
iteration 17 1211.507
iteration 18 1211.652
iteration 19 1211.855
iteration 20 1211.185
iteration 21 1211.185
iteration 22 1208.119
iteration 23 1208.119
iteration 24 1207.671
iteration 25 1207.671
iteration 26 1207.222
iteration 27 1208.611
iteration 28 1207.651
iteration 29 1209.340
iteration 30 1209.728
iteration 31 1209.408
iteration 32 1209.531
iteration 33 1209.361
iteration 34 1207.515
iteration 35 1207.515
iteration 36 1207.522
iteration 37 1207.450
iteration 38 1207.450
iteration 39 1206.191
iteration 40 1203.780
iteration 41 1204.071
iteration 42 1204.049
iteration 43 1204.361
iteration 44 1202.223
iteration 45 1202.230
iteration 46 1201.741
iteration 47 1201.144
iteration 48 1201.197
iteration 49 1201.476
iteration 50 1208.059
iteration 51 1207.829
iteration 52 1207.714
iteration 53 1207.714
iteration 54 1208.731
iteration 55 1208.653
iteration 56 1208.747
iteration 57 1208.259
iteration 58 1207.829
iteration 59 1207.688
iteration 60 1207.726
iteration 61 1207.702
iteration 62 1208.386
iteration 63 1209.278
iteration 64 1209.616
iteration 65 1208.136
iteration 66 1208.136
iteration 67 1208.141
iteration 68 1208.315
iteration 69 1208.121
iteration 70 1208.000
iteration 71 1205.773
iteration 72 1205.483
iteration 73 1205.720
iteration 74 1205.628
iteration 75 1205.628
iteration 76 1205.223
iteration 77 1205.042
iteration 78 1204.894
iteration 79 1205.348
iteration 80 1204.591
iteration 81 1204.804
iteration 82 1204.793
iteration 83 1204.793
iteration 84 1204.947
iteration 85 1204.648
iteration 86 1204.816
iteration 87 1204.716
iteration 88 1204.467
iteration 89 1205.339
iteration 90 1205.291
iteration 91 1205.036
iteration 92 1205.566
iteration 93 1205.403
iteration 94 1205.403
iteration 95 1205.389
iteration 96 1204.554
iteration 97 1204.670
iteration 98 1204.639
iteration 99 1204.639
iteration 100 1204.984
iteration 101 1203.179
iteration 102 1202.411
iteration 103 1202.217
iteration 104 1202.221
iteration 105 1202.094
iteration 106 1202.566
iteration 107 1202.566
iteration 108 1201.848
iteration 109 1201.848
iteration 110 1202.135
iteration 111 1202.645
iteration 112 1202.645
iteration 113 1202.026
iteration 114 1201.697
iteration 115 1201.781
iteration 116 1201.401
iteration 117 1202.227
iteration 118 1201.602
iteration 119 1201.156
iteration 120 1201.247
iteration 121 1201.247
iteration 122 1201.486
iteration 123 1201.155
iteration 124 1201.161
iteration 125 1201.824
iteration 126 1201.987
iteration 127 1201.584
iteration 128 1201.620
iteration 129 1201.620
iteration 130 1203.813
iteration 131 1204.071
iteration 132 1204.176
iteration 133 1204.176
iteration 134 1205.113
iteration 135 1204.905
iteration 136 1205.289
iteration 137 1205.654
iteration 138 1205.765
iteration 139 1206.273
iteration 140 1206.273
iteration 141 1206.273
iteration 142 1206.295
iteration 143 1206.002
iteration 144 1204.056
iteration 145 1204.056
iteration 146 1209.179
iteration 147 1209.179
iteration 148 1209.275
iteration 149 1209.256
iteration 150 1209.349
iteration 151 1208.659
iteration 152 1208.117
iteration 153 1208.255
iteration 154 1206.123
iteration 155 1205.810
iteration 156 1205.822
iteration 157 1206.401
iteration 158 1206.594
iteration 159 1206.596
iteration 160 1206.841
iteration 161 1206.841
iteration 162 1206.712
iteration 163 1206.638
iteration 164 1206.431
iteration 165 1206.305
iteration 166 1205.805
iteration 167 1206.139
iteration 168 1204.595
iteration 169 1206.025
iteration 170 1206.251
iteration 171 1206.251
iteration 172 1206.247
iteration 173 1206.247
iteration 174 1205.844
iteration 175 1205.893
iteration 176 1205.893
iteration 177 1205.944
iteration 178 1205.257
iteration 179 1209.699
iteration 180 1209.881
iteration 181 1209.869
iteration 182 1208.450
iteration 183 1208.740
iteration 184 1208.835
iteration 185 1206.843
iteration 186 1206.008
iteration 187 1205.539
iteration 188 1205.479
iteration 189 1203.737
iteration 190 1203.660
iteration 191 1203.660
iteration 192 1203.814
iteration 193 1224.446
iteration 194 1224.446
iteration 195 1224.047
iteration 196 1223.988
iteration 197 1223.980
iteration 198 1223.989
iteration 199 1224.044
iteration 200 1251.356
iteration 201 1250.954
iteration 202 1250.993
iteration 203 1250.993
iteration 204 1250.911
iteration 205 1250.898
iteration 206 1250.923
iteration 207 1250.343
iteration 208 1249.905
iteration 209 1249.920
iteration 210 1251.725
iteration 211 1251.767
iteration 212 1251.767
iteration 213 1250.521
iteration 214 1250.965
iteration 215 1251.103
iteration 216 1251.103
iteration 217 1251.289
iteration 218 1251.120
iteration 219 1251.133
iteration 220 1250.707
iteration 221 1250.657
iteration 222 1250.919
iteration 223 1250.919
iteration 224 1250.777
iteration 225 1249.707
iteration 226 1249.403
iteration 227 1249.187
iteration 228 1249.666
iteration 229 1249.710
iteration 230 1249.710
iteration 231 1249.710
iteration 232 1249.710
iteration 233 1251.890
iteration 234 1250.912
iteration 235 1251.648
iteration 236 1251.702
iteration 237 1251.769
iteration 238 1251.769
iteration 239 1251.769
iteration 240 1251.717
iteration 241 1251.872
iteration 242 1251.518
iteration 243 1251.504
iteration 244 1252.754
iteration 245 1252.441
iteration 246 1252.867
iteration 247 1252.867
iteration 248 1251.804
iteration 249 1251.782
iteration 250 1252.399
iteration 251 1252.976
iteration 252 1252.976
iteration 253 1252.976
iteration 254 1256.286
iteration 255 1257.209
iteration 256 1260.695
iteration 257 1260.311
iteration 258 1260.311
iteration 259 1260.237
iteration 260 1260.237
iteration 261 1260.237
iteration 262 1260.237
iteration 263 1259.386
iteration 264 1259.291
iteration 265 1259.284
iteration 266 1259.549
iteration 267 1259.191
iteration 268 1259.315
iteration 269 1260.851
iteration 270 1260.745
iteration 271 1260.922
iteration 272 1261.275
iteration 273 1261.275
iteration 274 1261.275
iteration 275 1182.778
iteration 276 1182.622
iteration 277 1182.622
iteration 278 1181.638
iteration 279 1180.215
iteration 280 1181.042
iteration 281 1180.223
iteration 282 1179.893
iteration 283 1179.893
iteration 284 1180.316
iteration 285 1180.499
iteration 286 1179.744
iteration 287 1179.168
iteration 288 1179.054
iteration 289 1182.053
iteration 290 1181.931
iteration 291 1181.659
iteration 292 1181.240
iteration 293 1181.146
iteration 294 1179.175
iteration 295 1179.175
iteration 296 1179.175
iteration 297 1180.267
iteration 298 1179.888
iteration 299 1180.572
iteration 300 1180.389
iteration 301 1180.851
iteration 302 1180.865
iteration 303 1176.880
iteration 304 1175.462
iteration 305 1174.900
iteration 306 1175.666
iteration 307 1175.666
iteration 308 1175.666
iteration 309 1174.874
iteration 310 1175.155
iteration 311 1175.031
iteration 312 1175.111
iteration 313 1175.317
iteration 314 1175.317
iteration 315 1175.411
iteration 316 1175.418
iteration 317 1174.224
iteration 318 1174.318
iteration 319 1174.186
iteration 320 1174.078
iteration 321 1174.078
iteration 322 1174.125
iteration 323 1174.494
iteration 324 1173.371
iteration 325 1173.185
iteration 326 1173.288
iteration 327 1170.633
iteration 328 1170.633
iteration 329 1170.597
iteration 330 1171.457
iteration 331 1171.457
iteration 332 1171.457
iteration 333 1172.521
iteration 334 1170.402
iteration 335 1170.485
iteration 336 1170.379
iteration 337 1169.446
iteration 338 1169.811
iteration 339 1169.811
iteration 340 1169.361
iteration 341 1169.147
iteration 342 1169.483
iteration 343 1169.208
iteration 344 1169.208
iteration 345 1170.047
iteration 346 1169.930
iteration 347 1169.930
iteration 348 1170.177
iteration 349 1170.177
iteration 350 1170.308
iteration 351 1170.669
iteration 352 1171.196
iteration 353 1171.464
iteration 354 1171.759
iteration 355 1171.759
iteration 356 1171.848
iteration 357 1172.499
iteration 358 1172.499
iteration 359 1172.731
iteration 360 1172.731
iteration 361 1171.734
iteration 362 1171.585
iteration 363 1171.595
iteration 364 1171.789
iteration 365 1171.598
iteration 366 1171.617
iteration 367 1171.463
iteration 368 1170.699
iteration 369 1170.846
iteration 370 1170.730
iteration 371 1170.816
iteration 372 1175.047
iteration 373 1175.195
iteration 374 1175.222
iteration 375 1177.944
iteration 376 1177.383
iteration 377 1177.383
iteration 378 1177.383
iteration 379 1180.066
iteration 380 1178.400
iteration 381 1178.440
iteration 382 1177.461
iteration 383 1175.892
iteration 384 1175.868
iteration 385 1175.612
iteration 386 1172.283
iteration 387 1173.208
iteration 388 1173.286
iteration 389 1173.161
iteration 390 1174.598
iteration 391 1174.517
iteration 392 1174.342
iteration 393 1174.342
iteration 394 1175.280
iteration 395 1173.418
iteration 396 1172.699
iteration 397 1172.786
iteration 398 1174.131
iteration 399 1173.972
iteration 400 1174.091
iteration 401 1174.996
iteration 402 1174.996
iteration 403 1174.972
iteration 404 1174.899
iteration 405 1174.910
iteration 406 1174.910
iteration 407 1174.955
iteration 408 1174.955
iteration 409 1175.195
iteration 410 1175.146
iteration 411 1175.146
iteration 412 1175.008
iteration 413 1175.008
iteration 414 1175.139
iteration 415 1174.811
iteration 416 1175.003
iteration 417 1175.003
iteration 418 1174.900
iteration 419 1175.752
iteration 420 1176.868
iteration 421 1177.290
iteration 422 1176.499
iteration 423 1176.499
iteration 424 1176.499
iteration 425 1176.499
iteration 426 1176.490
iteration 427 1173.981
iteration 428 1174.190
iteration 429 1174.444
iteration 430 1174.445
iteration 431 1173.473
iteration 432 1171.696
iteration 433 1171.498
iteration 434 1171.804
iteration 435 1171.648
iteration 436 1170.936
iteration 437 1170.910
iteration 438 1171.802
iteration 439 1171.723
iteration 440 1171.218
iteration 441 1171.218
iteration 442 1171.585
iteration 443 1171.585
iteration 444 1171.570
iteration 445 1170.232
iteration 446 1170.232
iteration 447 1169.547
iteration 448 1169.902
iteration 449 1171.591
iteration 450 1171.591
iteration 451 1171.582
iteration 452 1171.112
iteration 453 1172.911
iteration 454 1167.896
iteration 455 1167.550
iteration 456 1168.838
iteration 457 1168.155
iteration 458 1168.395
iteration 459 1168.411
iteration 460 1168.288
iteration 461 1168.054
iteration 462 1166.794
iteration 463 1166.845
iteration 464 1166.845
iteration 465 1166.796
iteration 466 1167.535
iteration 467 1167.470
iteration 468 1167.827
iteration 469 1167.827
iteration 470 1168.301
iteration 471 1168.301
iteration 472 1167.829
iteration 473 1167.829
iteration 474 1167.992
iteration 475 1169.036
iteration 476 1169.036
iteration 477 1169.036
iteration 478 1167.797
iteration 479 1167.304
iteration 480 1167.512
iteration 481 1167.702
iteration 482 1169.907
iteration 483 1169.739
iteration 484 1169.647
iteration 485 1169.647
iteration 486 1168.465
iteration 487 1168.454
iteration 488 1168.453
iteration 489 1171.161
iteration 490 1170.976
iteration 491 1170.976
iteration 492 1170.639
iteration 493 1170.817
iteration 494 1170.835
iteration 495 1172.698
iteration 496 1172.664
iteration 497 1172.731
iteration 498 1172.731
iteration 499 1172.731
iteration 500 1172.409
iteration 501 1172.379
iteration 502 1172.382
iteration 503 1172.382
iteration 504 1172.507
iteration 505 1172.954
iteration 506 1173.476
iteration 507 1173.471
iteration 508 1172.986
iteration 509 1173.163
iteration 510 1173.163
iteration 511 1173.466
iteration 512 1173.485
iteration 513 1173.473
iteration 514 1173.537
iteration 515 1173.533
iteration 516 1179.176
iteration 517 1179.649
iteration 518 1179.652
iteration 519 1182.216
iteration 520 1183.251
iteration 521 1183.767
